Chipset Name : GRANTLY PLATFORM Ver.05.04.21.0026,,,
Category,Name,GUID,Description
MdeModulePkg,,,
Kernel Layer,\mdemodulepkg\core\dxe\DxeCore,D6A2CB7F-6A18-4E2F-B43B-9920A733700A,This is core module in DXE phase. It provides an implementation of DXE Core that is compliant with DXE CIS.
Kernel Layer,\mdemodulepkg\universal\reportstatuscoderouter\runtimedxe\ReportStatusCodeRouterRuntimeDxe,D93CE3D8-A7EB-4730-8C8E-CC466A9ECC3C,Report Status Code Router Driver which produces Report Stataus Code Handler Protocol and Status Code Runtime Protocol.
Kernel Layer,\mdemodulepkg\universal\metronome\Metronome,C8339973-A563-4561-B858-D8476F9DEFC4,The user Entry Point for module Metronome. The user code starts with this function.
Kernel Layer,\mdemodulepkg\core\runtimedxe\RuntimeDxe,B601F8C4-43B7-4784-95B1-F4226CB40CEE,This runtime module installs Runtime Architectural Protocol and registers CalculateCrc32 boot services table, SetVirtualAddressMap & ConvertPointer runtime services table.
Kernel Layer,\mdemodulepkg\universal\watchdogtimerdxe\WatchdogTimer,F099D67F-71AE-4C36-B2A3-DCEB0EB2B7D8,Generic watchdog timer driver produceing Watchdog Timer Architectural Protocol using UEFI APIs.
Kernel Layer,\mdemodulepkg\universal\acpi\firmwareperformancedatatabledxe\FirmwarePerformanceDxe,00160F8D-2B35-4df2-BBE0-B272A8D631F0,This module registers report status code listener to collect performance data for Firmware Basic Boot Performance Record and other boot performance records, and install FPDT to ACPI table.
Kernel Layer,\mdemodulepkg\universal\devicepathdxe\DevicePathDxe,9B680FCE-AD6B-4F3A-B60B-F59899003443,This driver produces Device Path Utilities protocol and optionally DevicePahtToText and DevicePathFromText protocols based on feature flag PcdDevicePathSupportDevicePathToText & PcdDevicePathSupportDevicePathFromText respectively.
Kernel Layer,\mdemodulepkg\universal\ebcdxe\EbcDxe,13AC6DD0-73D0-11D4-B06B-00AA00BD6DE7,This module implements EFI Byte Code (EBC) Virtual Machine that can provide platform and processor-independent mechanisms for loading and executing EFI device drivers.
Kernel Layer,\mdemodulepkg\core\pismmcore\PiSmmIpl,2FA2A6DA-11D5-4DC3-999A-749648B03C56,This module provide an SMM CIS compliant implementation of SMM IPL.
Kernel Layer,\mdemodulepkg\core\pismmcore\PiSmmCore,E94F54CD-81EB-47ED-AEC3-856F5DC157A9,This module provide an SMM CIS compliant implementation of SMM Core.
Kernel Layer,\mdemodulepkg\universal\statuscodehandler\smm\StatusCodeHandlerSmm,79CD78D8-6EDC-4978-BD02-3299C387AB17,Status Code Handler Driver which produces general handlers and hook them onto the SMM status code router.
Kernel Layer,\mdemodulepkg\universal\acpi\firmwareperformancedatatablesmm\FirmwarePerformanceSmm,044310AB-77FD-402A-AF1A-87D4120E7329,This module registers report status code listener to collect performance data for SMM boot performance records and S3 Suspend Performance Record.
Kernel Layer,\mdemodulepkg\universal\acpi\s3savestatedxe\S3SaveStateDxe,BDCE85BB-FBAA-4F4E-9264-501A2C249581,Component description file for ScriptSave module.
Kernel Layer,\mdemodulepkg\universal\lockbox\smmlockbox\SmmLockBox,33FB3535-F15E-4C17-B303-5EB94595ECB6,Component description file for LockBox SMM driver.
Kernel Layer,\mdemodulepkg\universal\console\conplatformdxe\ConPlatformDxe,51CCF399-4FDF-4E55-A45B-E123F84D456A,Console Platfrom DXE Driver that specifies whether device can be used as console input/output device or error output device and update global variables accordingly.
Kernel Layer,\mdemodulepkg\universal\printdxe\PrintDxe,79E4A61C-ED73-4312-94FE-E3E7563362A9,Print DXE driver that produces Print2 Protocol.
Kernel Layer,\mdemodulepkg\universal\disk\diskiodxe\DiskIoDxe,6B38F7B4-AD98-40E9-9093-ACA2B5A253C4,Module that lays Disk I/O protocol on every Block I/O protocol.
Kernel Layer,\mdemodulepkg\bus\scsi\scsibusdxe\ScsiBus,0167CCC4-D0F7-4F21-A3EF-9E64B7CDCE8B,SCSI bus driver. This driver scans all SCSI devices and creates a device handle for each of them. After this the driver installs the Device Path Protocol and SCSI I/O Protocol on these handles.
Kernel Layer,\mdemodulepkg\core\pei\PeiCore,52C05B14-0B98-496C-BC3B-04B50211D680,PeiMain module is core module in PEI phase. It takes responsibilities of: 1) Initialize memory, PPI, image services etc, to establish PEIM runtime environment. 2) Dispatch PEIM from discovered FV. 3) Handoff control to DxeIpl to load DXE core and enter DXE phase.
Kernel Layer,\mdemodulepkg\universal\pcd\pei\PcdPeim,9B3ADA4F-AE56-4C24-8DEA-F03B7558AE50,PCD PEIM produces PCD database to manage all dynamic PCD in PEI phase and install Pcd Ppi service.
Kernel Layer,\mdemodulepkg\universal\reportstatuscoderouter\pei\ReportStatusCodeRouterPei,A3610442-E69F-4DF3-82CA-2360C4031A23, Report Status Code Router PEIM which produces Report Stataus Code Handler PPI and Status Code PPI.
Kernel Layer,\mdemodulepkg\universal\acpi\firmwareperformancedatatablepei\FirmwarePerformancePei,ADF01BF6-47D6-495D-B95B-687777807214,This module register report status code listener to collect performance data for S3 Resume Performance Record on S3 resume boot path.
